,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Matthew Stafford,LAR,21,32,305,3,0,0,0,68,127.7,0,0,0,0,0,0,0,0,0,0,0
1,John Wolford,LAR,1,2,5,0,0,1,8,5,56.2,0,0,0,0,0,0,0,0,0,0,0
2,Darrell Henderson,LAR,0,0,0,0,0,0,0,0,,14,90,1,19,2,1,3,1,3,0,0
3,Sony Michel,LAR,0,0,0,0,0,0,0,0,,9,42,0,14,2,2,14,0,11,0,0
4,Robert Woods,LAR,0,0,0,0,0,0,0,0,,3,22,1,16,9,3,35,1,28,0,0
5,Buddy Howell,LAR,0,0,0,0,0,0,0,0,,5,11,0,4,0,0,0,0,0,0,0
6,Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,115,1,52,0,0
7,Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,88,0,68,0,0
8,Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,30,0,20,0,0
9,Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,25,0,11,0,0
12,Davis Mills,HOU,29,38,310,2,1,5,31,45,106.2,0,0,0,0,0,0,0,0,0,1,0
13,Rex Burkhead,HOU,0,1,0,0,0,0,0,0,39.6,4,21,1,14,4,3,27,0,10,0,0
14,Scottie Phillips,HOU,0,0,0,0,0,0,0,0,,5,11,0,4,3,2,9,0,8,0,0
15,Phillip Lindsay,HOU,0,0,0,0,0,0,0,0,,3,8,0,5,0,0,0,0,0,0,0
16,David Johnson,HOU,0,0,0,0,0,0,0,0,,2,4,0,4,1,1,-1,0,-1,0,0
17,Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,83,1,45,0,0
18,Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,55,0,26,0,0
19,Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,53,0,31,0,0
20,Brevin Jordan,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,41,1,23,0,0
21,Chris Conley,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,0,24,0,0
22,Chris Moore,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,8,0,0
23,Danny Amendola,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,3,0,3,1,0
