,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Jalen Hurts,PHI,18,34,236,2,0,2,13,27,94.7,13,61,0,16,0,0,0,0,0,1,1
1,Miles Sanders,PHI,0,0,0,0,0,0,0,0,,6,30,0,9,1,1,-3,0,-3,0,0
2,Boston Scott,PHI,0,0,0,0,0,0,0,0,,7,24,1,5,2,1,5,0,5,0,0
3,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,5,20,0,7,8,4,41,1,15,1,1
4,Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,70,0,25,0,0
5,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,61,0,20,0,0
6,Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,37,0,27,0,0
7,Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,1,0,0,0,2,2,25,1,17,1,0
10,Derek Carr,LVR,31,34,323,2,1,0,0,43,113.6,2,1,0,2,0,0,0,0,0,0,0
11,Kenyan Drake,LVR,0,0,0,0,0,0,0,0,,14,69,1,12,3,3,10,0,7,0,0
12,Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,6,29,1,9,3,3,39,0,20,0,0
13,Jalen Richard,LVR,0,0,0,0,0,0,0,0,,4,8,0,5,4,3,17,0,9,0,0
14,Henry Ruggs III,LVR,0,0,0,0,0,0,0,0,,1,7,0,7,4,4,24,0,10,0,0
15,Marcus Mariota,LVR,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
16,Alec Ingold,LVR,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,29,0,29,0,0
17,Foster Moreau,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,60,1,21,0,0
18,Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,58,0,16,0,0
19,Zay Jones,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,43,0,43,0,0
20,Bryan Edwards,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,43,1,24,0,0
